Instance,alpha%,Min Cost,Mean Cost,Variance,CV
berlin52.tsp,5,7602.33,8248.53,92984.96,0.037
berlin52.tsp,10,7544.37,8187.93,93051.18,0.037
berlin52.tsp,15,7544.37,8126.56,91248.6,0.037
berlin52.tsp,20,7549.89,8229.76,68888.78,0.032
bier127.tsp,5,122314.19,127220.36,4228507.44,0.016
bier127.tsp,10,121308.83,127871.12,7209897.35,0.021
bier127.tsp,15,121857.46,127247.63,6457522.37,0.02
bier127.tsp,20,122965.83,127972.2,7877561.26,0.022
burma14.tsp,5,30.88,30.98,0.05,0.007
burma14.tsp,10,30.88,30.97,0.03,0.006
burma14.tsp,15,30.88,31.01,0.05,0.007
burma14.tsp,20,30.88,31.75,0.98,0.031
ch130.tsp,5,6319.5,6554.31,12866.39,0.017
ch130.tsp,10,6317.91,6581.85,17360.35,0.02
ch130.tsp,15,6290.09,6585.02,19872.1,0.021
ch130.tsp,20,6255.83,6600.75,15928.34,0.019
pr76.tsp,5,108680.72,113929.62,7926461.42,0.025
pr76.tsp,10,108937.28,115150.97,11878732.96,0.03
pr76.tsp,15,110527.78,116136.72,14627894.67,0.033
pr76.tsp,20,109246.95,114777.14,8908742.82,0.026
